Normal,Simple,SARI,METEOR,ROUGE_F,BLEU,SPEARMAN_CORRELATION,PEARSON_CORRELATION
inviato tramite fax posta elettronica o posta elettronica certificata o consegnato da altri con allegata la fotocopia del documento di identità in corso di validità di chi sottoscrive la domanda,inviato tramite fax o posta elettronica o consegnare una fotocopia di un documento di identita di chi sottoscrive la domanda,24.6127,0.5521,0.4444,24.9,0,0
i 14 generatori nel lato nord della diga sono già stati installati,i 14 generatori sono gia costruiti,55.0926,0.2841,0.2222,8.6,0,0
il clade non è definito nella gerarchia tassonomica standard ma è tra superfamiglia e famiglia,il clade non e una categoria di matematica ma tra superfamiglia e famiglia,32.9455,0.4566,0.3478,20.6,0,0
halldr sgrmsson è un politico islandese ex primo ministro islandese dal 2004 al 2006 e leader del partito progressista dal 1994 al 2006,halldr sgrmsson e un politico islandese,40.4894,0.4046,0.1818,13.8,0,0
l operazione è tuttora in corso,l operazione e in corso,53.4722,0.5111,0.2857,23.6,0,0
ma non è certo l unica,ma non e stato l unico,61.2302,0.8067,0.6667,38.0,0,0
la frase più accurata utilizzata per questo significato di una quantità massima di trasferimento di dati ogni mese o dato periodo è il trasferimento mensile di dati,la frase piu utilizzata per questo significato e il trasferimento di dati,45.8693,0.4286,0.2857,15.6,0,0
ma intanto è una buona soluzione,ma e una buona soluzione,65.4762,0.5889,0.5,39.8,0,0
il seguente elenco è indicativo,il seguente elenco e indicativo,39.5833,0.5111,0.2857,23.6,0,0
la ringrazio anticipatamente per la sollecita risposta,la ringrazio moltissimo per la risposta,100.0,0.9977,1.0,100.0,0,0
il sito è in lingua inglese,il sito e disponibile in lingua inglese,38.6111,0.3995,0.3333,16.1,0,0
garegin njdeh o garegin ter-harutiunian garegin nzhdeh era uno statista armeno fedayee pensatore politico e come membro del partito a.r.f. dashnaktsutyun è stato coinvolto in attività rivoluzionarie in armenia bulgaria e russia e un membro della legione armena di hitler della wehrmacht le forze armate della germania nazista,garegin njdeh era un statista armeno,45.8643,0.5042,0.4286,19.5,0,0
ma c è un passo avanti,ma e un passo avanti,49.3056,0.4331,0.25,19.4,0,0
nel 2008 ha composto e prodotto il pop-hymn di linz per la cantante yvonne finsterle,ha anche scritto e prodotto una canzone chiamata elfne finsterle,13.9236,0.0459,0.0,3.8,0,0
c è un altra soluzione,e possibile un altra soluzione,79.3651,0.7938,0.8571,66.9,0,0
la risposta è sicuramente no,la risposta e stata no,53.5317,0.75,0.5714,30.2,0,0
