Normal_ENG,Normal_m,Normal_Deep,Simple_ENG,Simple_m,Simple_Deep
"When Green tore his ACL in a preseason game , Warner took over as the Rams ' tentative starter .
","Quando Green ha strappato il suo ACL in una partita pre-campionata, Warner ha preso il sopravvento come timing starter dei Rams.","Quando Green si è rotto il legamento crociato del ginocchio in una partita di preseason, Warner ha assunto il ruolo di titolare provvisorio dei Rams.
","Warner was the backup quarterback for the St. Louis Rams during the 1998 regular season and the 1999 preseason . When their main quarterback Trent Green was injured in a preseason game , Warner became the starter .
","Warner è stato il quarterback di riserva per i St. Louis Rams durante la stagione regolare 1998 e la pre-season 1999. Quando il loro quarterback principale Trent Green è stato ferito in una partita pre-season, Warner è diventato lo starter.","Warner è stato il quarterback di riserva dei St. Louis Rams durante la stagione regolare 1998 e la preseason 1999. Quando il quarterback principale Trent Green si infortunò in una partita di preseason, Warner divenne il titolare.
"
"Royal Rumble was the twentieth annual Royal Rumble professional wrestling pay-per-view event produced by World Wrestling Entertainment .
",Royal Rumble è stato il ventesimo evento annuale Royal Rumble pay-per-view prodotto da World Wrestling Entertainment.,"La Royal Rumble è stato il ventesimo evento annuale in pay-per-view di wrestling professionale prodotto dalla World Wrestling Entertainment.
","Royal Rumble was the twentieth yearly Royal Rumble professional wrestling pay-per-view event made by World Wrestling Entertainment .
",Royal Rumble è stato il ventesimo evento annuale Royal Rumble wrestling professionale pay-per-view fatto da World Wrestling Entertainment .,"La Royal Rumble è stata la ventesima edizione dell'evento in pay-per-view di wrestling professionale Royal Rumble, organizzato dalla World Wrestling Entertainment.
"
"Janko Prunk is a Slovenian historian of modern history .
",Janko Prunk è uno storico sloveno della storia moderna.,"Janko Prunk è uno storico sloveno della storia moderna.
","Janko Prunk , is a Slovenian historian of modern history .
","Janko Prunk , è uno storico sloveno della storia moderna .","Janko Prunk , è uno storico sloveno della storia moderna.
"
"Sometimes the balalaika is tuned `` guitar style '' to G-B-D , making it easier to play for Russian guitar players , although balalaika purists frown on this tuning .
","A volte la balalaika è sintonizzata stile chitarra ""' a G-B-D , rendendo più facile da suonare per i chitarristi russi , anche se i puristi balalaika accigliano su questa sintonizzazione .","A volte la balalaika è accordata ""alla chitarra"" in Sol-B-D, per facilitare l'esecuzione ai chitarristi russi, anche se i puristi della balalaika non vedono di buon occhio questa accordatura.
","The Balalaika family includes the prima balalaika , sekunda balalaika , alto balalaika , bass balalaika and contrabass balalaika . They all have three strings and two of them are tuned to the same note .
","La famiglia Balalaika comprende la prima balalaika, sekunda balalaika, alto balalaika, basso balalaika e contrabass balalaika. Tutti hanno tre corde e due di loro sono sintonizzati alla stessa nota.","La famiglia delle balalaike comprende la prima balalaika, la sekunda balalaika, la balalaika contralto, la balalaika basso e la balalaika contrabbasso. Tutte hanno tre corde e due di esse sono accordate alla stessa nota.
"
"Two days after he was sworn in as Prime Minister , the Wall Street Crash of 1929 occurred , marking the beginning of the Great Depression and subsequent Great Depression in Australia .
","Due giorni dopo è stato giurato in come Primo Ministro , il Crash di Wall Street del 1929 si è verificato , segnando l'inizio della Grande Depressione e la successiva Grande Depressione in Australia .","Due giorni dopo il suo giuramento come Primo Ministro, si verificò il crollo di Wall Street del 1929, che segnò l'inizio della Grande Depressione e della successiva Grande Depressione in Australia.
","He became Prime Minister two days before the Great Depression began .
",Divenne Primo Ministro due giorni prima dell'inizio della Grande Depressione.,"Divenne Primo Ministro due giorni prima dell'inizio della Grande Depressione.
"
"Dolignon is a commune in the Aisne department in Picardie in northern France .
",==Evoluzione demografica==== Note ==== Altri progetti ==,"Dolignon è un comune del dipartimento dell'Aisne, in Piccardia, nel nord della Francia.
","Dolignon is a commune . It is found in the region Picardie in the Aisne department in the north of France .
",==Evoluzione demografica==== Altri progetti ==== Note ==,"Dolignon è un comune. Si trova nella regione Picardie, nel dipartimento dell'Aisne, nel nord della Francia.
"
"Five is a congruent number . Five is conjectured to be the only odd untouchable number and if this is the case then five will be the only odd prime number that is not the base of an aliquot tree .
",Cinque è un numero congruente. Cinque è congetturato per essere l'unico numero intoccabile dispari e se questo è il caso allora cinque sarà l'unico numero primo dispari che non è la base di un albero aliquot.,"Il cinque è un numero congruente. Si ipotizza che il cinque sia l'unico numero dispari intoccabile e, se così fosse, il cinque sarebbe l'unico numero primo dispari che non è la base di un albero di aliquote.
","The number five is also an odd number .
",Il numero cinque è anche un numero dispari .,"Anche il numero cinque è un numero dispari.
"
"He gained a reputation for great courage , making quick tactical decisions and taking advantage of enemy confusion .
","Ha guadagnato una reputazione di grande coraggio, prendendo decisioni tattiche rapide e approfittando della confusione nemica.","Si guadagnò la reputazione di grande coraggio, prendendo rapide decisioni tattiche e approfittando della confusione nemica.
","While serving with that unit , he gained a reputation for making quick tactical decisions and taking advantage of enemy confusion .
","Durante il servizio con quella unità , ha guadagnato una reputazione per prendere decisioni tattiche rapide e approfittando della confusione nemica .","Durante il servizio con quell'unità, si guadagnò la reputazione di prendere decisioni tattiche rapide e di approfittare della confusione nemica.
"
"The current controller of the station is Danny Cohen , and the Head of Scheduling is Dan McGolpin .
","L'attuale controllore della stazione è Danny Cohen , e la testa di Scheduling è Dan McGolpin .","L'attuale controllore della stazione è Danny Cohen, mentre il responsabile della programmazione è Dan McGolpin.
","The current controller of the station is Danny Cohen , and the Head of Scheduling is Dan McGolpin .
","L'attuale controllore della stazione è Danny Cohen , e la testa di Scheduling è Dan McGolpin .","L'attuale controllore della stazione è Danny Cohen, mentre il responsabile della programmazione è Dan McGolpin.
"
"This can be used to scale the graphical quotation marks up and down to suit larger or smaller quotes .
",Questo può essere utilizzato per scalare le virgolette grafiche su e giù per soddisfare le virgolette più grandi o più piccole .,"Questo può essere utilizzato per scalare le virgolette grafiche verso l'alto o verso il basso per adattarle a citazioni più grandi o più piccole.
","This can be used to scale the graphical quotation marks up and down to suit larger or smaller quotes .
",Questo può essere utilizzato per scalare le virgolette grafiche su e giù per soddisfare le virgolette più grandi o più piccole .,"Questo può essere utilizzato per scalare le virgolette grafiche verso l'alto o verso il basso per adattarle a citazioni più grandi o più piccole.
"
