Normal,Simple,SARI,METEOR,ROUGE_F,BLEU,SPEARMAN_CORRELATION,PEARSON_CORRELATION
facciamo però un passo indietro,facciamo però un passo indietro,49.3056,0.5889,0.0682,39.8,0,0
l importante è divertir- si,l importante è poi essere sul serio,50.4167,0.4206,0.0444,24.4,0,0
questo è un altro problema aperto,anche questo è un problema antico,33.3333,0.1923,0.0,7.7,0,0
è pienamente ragionevole e pienamente libera,è pienamente legittimo e pienamente libero,54.1667,0.098,0.0,8.1,0,0
si poteva andare avanti cosi,posso andare avanti così,41.6667,0.2799,0.023,15.1,0,0
per maggiori informazioni consultate questo sito,per maggiori informazioni consultare il sito,100.0,0.9977,0.1573,100.0,0,0
insomma aprendo un dibattito,voglio aprire un dibattito un pò vasto,50.0,0.0962,0.0,6.6,0,0
a questo punto tutto dovrebbe essere pronto,a questo punto siamo già pronto,62.963,0.5435,0.0899,27.5,0,0
ci può spiegare di cosa si tratta,ci può spiegare di che cosa si tratta,100.0,0.999,0.1978,100.0,0,0
l articolo 496 del codice penale è sostituito dal seguente art,l articolo 496 del codice penale è sostituito con il seguente art,100.0,0.9997,0.2917,100.0,0,0
