Normal,Simple,SARI,METEOR,ROUGE_F,SPEARMAN_CORRELATION,PEARSON_CORRELATION
La ringrazio dell' attenzione e la saluto cordialmente,La ringrazio per l'attenzione prestatami e la saluto cordialmente.,45.3175,0.6181,0,0,0
"Questa sarebbe una cosa positiva "" .",Questa è una cosa gravissima,86.1111,0.7938,0,0,0
Grazie Si rivolga alle università degli studi .,Deve rivolger - si alle università degli studi,69.4444,0.7031,0,0,0
E a posteriori è anche facile,E a lungo è stato tutto più facile.,62.1286,0.5167,0,0,0
Ma facciamo un passo più avanti .,Ma facciamo un lungo passo indietro,41.5675,0.1667,0,0,0
Così non si va da nessuna parte !,Non potete andare da nessuna parte!,100.0,0.9985,0,0,0
""" La misura è colma .",La misura è davvero colma,54.3651,0.5111,0,0,0
"I ricorsi devono , quindi , essere respinti .","Entrambi i ricorsi, quindi, devono essere respinti",50.2976,0.7079,0,0,0
"La risposta , pressoché unanime , è stata un no",La risposta è TECNICAMENTE no.,77.0833,0.8067,0,0,0
Questo è un fatto » .,Questo è un fatto normalissimo,66.6667,0.7938,0,0,0
Si passa all' esame degli emendamenti relativi all' articolo 9 .,Passa quindi all'esame dell'articolo 2 e dei relativi emendamenti,68.2146,0.5491,0,0,0
"Ok , faccio un ulteriore passo indietro",Ma facciamo un lungo passo indietro.,76.9841,0.7934,0,0,0
"E questo non può essere un caso "" .",E non è un caso,79.3651,0.8203,0,0,0
"articolo 36 , inserire il seguente : « Art",Dopo l'articolo 1 sono inseriti i seguenti : Art,23.6111,0.1282,0,0,0
Soprattutto non voglio aver- ne paura,Ma non devi aver - ne paura.,58.1944,0.7194,0,0,0
C' è anche un altro problema,Ma il problema principale è un altro.,55.5556,0.418,0,0,0
Sono d' accordo su tutto .,E siamo proprio d'accordo,45.5556,0.0,0,0,0
Questo è molto difficile da capire,è proprio difficile da capire.,55.9127,0.4907,0,0,0
E questo è un fatto importante,Ed è un fatto positivo.,36.1706,0.6205,0,0,0
Ma una cosa devo dir- la .,Una cosa devo comunque dire,100.0,0.996,0,0,0
( Seguito dell' esame testo unificato e rinvio ) .,Seguito e conclusione dell'esame del testo integrale,45.0165,0.3995,0,0,0
Non mi sembra proprio il caso .,Il caso non mi sembra molto grave,65.0,0.7311,0,0,0
"Tuttavia , questa è già un' altra storia .",Ma questa è comunque un'altra storia,45.7341,0.3704,0,0,0
è già la seconda volta ! !,è già la prima volta.,20.1389,0.25,0,0,0
""" Tecnicamente il lavoro è abbastanza valido .",Il lavoro è ottimo,63.8095,0.6009,0,0,0
La mia risposta è decisamente no,La mia risposta è no.,100.0,0.9977,0,0,0
- - Qualcosa c' è di strano ?,Che c'è di tanto strano,50.9921,0.8552,0,0,0
"Nata nel 1783 , morì nel 1854",Nato nel 1805 morì nel 1862.,61.3294,0.4509,0,0,0
"Una cosa , però , è certa .",Una cosa è senz'altro certa,68.5185,0.75,0,0,0
Questo è un problema strutturale » .,Questo è un problema essenziale,66.6667,0.7938,0,0,0
C' è una differenza tuttavia .,C'è una differenza enorme,36.8056,0.6205,0,0,0
Compensa integralmente le spese del giudizio,Compensa le spese del giudizio.,68.5185,0.8067,0,0,0
Per ulteriori informazioni visitate il sito ufficiale del,Per ulteriori informazioni visita il sito :,63.1313,0.55,0,0,0
Questo è un dato di fatto,È un dato di fatto acclarato.,43.8095,0.3651,0,0,0
La risposta è quasi certamente no,La mia risposta è NO.,81.9444,0.8067,0,0,0
L' obiettivo era stato raggiunto .,Il principale obiettivo è raggiunto,100.0,0.996,0,0,0
Ma ne sarebbe valsa la pena,Ma ne valeva proprio la pena!,57.6389,0.3651,0,0,0
E non gli si può dare torto .,Non poteva dar - gli torto,21.164,0.1449,0,0,0
"Sostituire , inoltre , il comma 2 dell' articolo 2 con il seguente : "" 2 .","Il comma 2 dell'articolo 23 è sostituito dal seguente : "" 2",67.3768,0.7217,0,0,0
""" Questa è una bellissima storia .",Questa è una storia seria,79.1667,0.7938,0,0,0
"Conseguentemente , all' articolo 15 , dopo il comma 1 , inserire il seguente : « 1 - bis .",Nell'articolo 431 dopo il comma 2 è inserito il seguente : 2 - bis,85.9289,0.8177,0,0,0
Per lo svolgimento della prova sono state assegnate n,Per lo svolgimento della prova vengono assegnate n,100.0,0.999,0,0,0
Non posso desiderare niente di più .,Non posso desiderare di più,100.0,0.996,0,0,0
Così non si può andare avanti ! ! !,non può andare avanti così!,65.0162,0.8067,0,0,0
"E quindi , cominciare queste profonde ed esoteriche pratiche contemplative e adottare lo stile di vita monastico senza un contesto adeguato provoca molti problemi .","E cominciano a seguire queste pratiche, che non seguono lo stile di vita e uno stile di vivere.",22.0273,0.2343,0,0,0
"Beh , questo è un altro discorso .",Ma questo è un altro discorso!,65.6614,0.9308,0,0,0
Ed era proprio la fine .,E fu la sua fine,79.1667,0.75,0,0,0
è proprio quello il punto .,Questo è il vero punto,61.1111,0.2,0,0,0
Per ulteriori informazioni telefonare allo 051988311 .,Per informazioni telefonare allo 0516480704,57.9365,0.5515,0,0,0
"Adesso , evidentemente , le cose sono cambiate","Ma ora, le cose sono cambiate.",73.9947,0.8294,0,0,0
