Normal,Simple,SARI,METEOR,ROUGE_F,BLEU,SPEARMAN_CORRELATION,PEARSON_CORRELATION
"Ed è così , infatti",Ed infatti così è stato,73.1151,0.6313,0.0,25.4,0,0
Nel mio caso si tratta di questo,In questo caso si tratta di un ulteriore caso,82.5,0.7812,0.7143,58.7,0,0
Tuttavia forse c' è una spiegazione,C'è una spiegazione plausibile,27.7778,0.83,0.6667,24.9,0,0
Ma c' è un altro nodo da sciogliere,Il vero nodo da sciogliere era un'altro,47.0833,0.2904,0.1538,12.6,0,0
"Quanto alle spese di giudizio , ricorrono giusti motivi per compensar- le interamente tra le parti",Ricorrono giusti motivi per compensare integralmente tra le parti le spese di giudizio,90.408,0.9209,0.8333,84.2,0,0
"Aidan stava sudando perché era caldo, ed era fuori allenamento","Aidan stava sudando perché era molto caldo, ed era fuori di allenamento",36.2963,0.9722,0.7,59.2,0,0
"Si , ma è un processo lento",è comunque un processo lento,100.0,0.996,1.0,100.0,0,0
Ma non è una cosa così scontata,Ma non deve essere così semplice,32.7976,0.098,0.0,4.1,0,0
"Anche in considerazione della sua articolata attività didattica , la Commissione esprime un giudizio positivo","Anche in considerazione della ampia attività didattica, la Commissione esprime un giudizio pienamente positivo",79.2744,0.9423,0.8889,82.0,0,0
Anche questo è un segno dei tempi,è il segno dei tempi,59.213,0.6356,0.5714,32.6,0,0
Però c' è anche una buona notizia,Ed è una buona notizia,100.0,0.996,1.0,100.0,0,0
Ma tutto adesso appartiene al passato,Ormai tutto ciò appartiene al passato,66.6667,0.7353,0.4444,30.2,0,0
Ma non farei di ogni erba un fascio,Non fare di tutta l'erba un fascio,54.213,0.5068,0.7143,17.0,0,0
Le porte sono aperte,Tutte le porte sono aperte,63.6111,0.8203,0.6667,40.9,0,0
Ma non è uno scherzo,Non è stato uno scherzo,100.0,0.996,1.0,100.0,0,0
"I generi alimentari , ricevuti dall' esterno o acquistati , non devono eccedere in quantità il fabbisogno mensile di una persona","I generi alimentari, provenienti dall'esterno o dall'azienda, non devono eccedere in quantità il bisogno mensile di una persona",36.1397,0.6707,0.6111,36.7,0,0
Ma forse non è neppure questo il punto,Ma non è il punto,100.0,0.996,1.0,100.0,0,0
In tal caso l' importo applicabile non può superare quello applicabile alla destinazione indicata sul titolo,"In tal caso, l'importo non può superare quello applicabile relativamente alla destinazione indicata nel titolo",62.8627,0.8243,0.8966,61.3,0,0
"_ * "" Maxx : Sempre a riguardo del tuo lato tecnico : Hai seguito qualche corso di disegno in particolare o sei completamente autodidatta",""" Maxx - sempre a riguardo del tuo lato tecnico : hai seguito qualche corso di disegno in particolare o sei completamente autodittabile",46.362,0.9045,0.9474,65.3,0,0
articolo 3 infine reca le disposizioni transitorie e finali,"L'articolo 3 reca, infine le disposizioni transitorie e finali",50.1389,0.6471,0.75,31.2,0,0
"Sussistono , tuttavia , giusti motivi per compensare fra le parti le spese del doppio grado di giudizio",Sussistono giusti motivi per compensare tra le parti le spese del doppio grado di giudizio,65.6317,0.7087,0.6,46.4,0,0
Brian Cowen è l'attuale Taoiseach dell'Irlanda,Brian Cowen è il Taocete dell'Irlanda,23.6111,0.3775,0.1538,21.6,0,0
"Anche in questo caso, l'utilizzo affidabile consente fino a 50 spazi alla volta",Anche in questo caso l'utilizzo è consentito fino a 50 posti alla volta,16.9298,0.6964,0.64,29.6,0,0
Questo film è decisamente da vedere,Il film è da vedere,58.7963,0.4642,0.5,17.0,0,0
Non è solo una provocazione,Non è stata una semplice provocazione,61.1111,0.526,0.0,10.7,0,0
"L' idea , insomma , è semplice","L'idea è semplice, antica e modernissima",57.4074,0.3727,0.4444,24.4,0,0
"Vi è , inoltre , un' altra questione",Ma la questione è un'altra,62.7381,0.4991,0.8571,21.4,0,0
