Normal,Simple1,SARI_1,METEOR_1,ROUGE_F_1,BLEU_1,Simple2,SARI_2,METEOR_2,ROUGE_F_2,BLEU_2
Che magari sono gli anni che passano,Sono gli anni che passarono,35.61507936507936,0.4331,0.25,19.4,Sono gli anni che passarono,35.61507936507936,0.4331,0.25,19.4
Questo è ancora da vedere,Tutto ciò è ancora da vedere,100.0,0.9977,1.0,100.0,Tutto ciò è ancora da vedere,100.0,0.9977,1.0,100.0
Sarà una scelta ponderata,è stata una sua scelta,75.0,0.996,1.0,100.0,è stata una sua scelta,75.0,0.996,1.0,100.0
"Il "" caso "" è chiuso",E il caso è chiuso,42.824074074074076,0.535,0.0,19.4,E il caso è chiuso,42.824074074074076,0.535,0.0,19.4
Si affrontano i problemi di copyright,Si affrontarono i problemi di copyright,23.547979797979796,0.8067,0.6,53.7,Si affrontarono i problemi di copyright,23.547979797979796,0.8067,0.6,53.7
"Parla correntemente tedesco , francese e inglese",Parla correntemente inglese e francese,27.356902356902356,0.339,0.0,12.4,Parla correntemente inglese e francese,27.356902356902356,0.339,0.0,12.4
E si fa anche in Italia,E si può fare anche in Italia,48.75,0.4827,0.3636,24.4,E si può fare anche in Italia,48.75,0.4827,0.3636,24.4
Che in realtà non si sa bene qual è,Ma in realtà non so qual è,37.95926295926295,0.3995,0.1818,7.5,Ma in realtà non capisco bene,42.19017094017094,0.4046,0.1818,7.7
Il problema è tutto lì,Il problema è proprio qua,48.80952380952382,0.75,0.3333,23.6,Il problema è proprio qua,48.80952380952382,0.75,0.3333,23.6
"In azienda , quali sono i vantaggi",Quali sono i suoi vantaggi,47.72486772486773,0.487,0.4,28.6,Quali sono i suoi vantaggi,47.72486772486773,0.487,0.4,28.6
Questo è il tuo giorno del giudizio,è il giorno del giudizio,83.33333333333333,0.996,1.0,100.0,è il giorno del giudizio,83.33333333333333,0.996,1.0,100.0
C' è però un' altra parte della storia,è un'altra parte della nostra storia,45.707070707070706,0.526,0.2222,19.3,è un'altra parte della nostra storia,45.707070707070706,0.526,0.2222,19.3
Ma queste sono buone notizie,Ma queste sono buone notizie,0.0,0.0,0.0,5.3,Ma queste sono buone notizie,0.0,0.0,0.0,5.3
Non sono d' accordo per nulla,Non possiamo essere d'accordo,50.0462962962963,0.5077,1.0,46.3,Non possiamo essere d'accordo,50.0462962962963,0.5077,1.0,46.3
E questo sarebbe grave,Tutto questo è estremamente grave,36.82539682539683,0.375,0.0,21.4,Tutto questo è estremamente grave,36.82539682539683,0.375,0.0,21.4
"Bene , allora si può procedere con il voto",Si può procedere con il voto favorevole,47.63888888888888,0.7632,0.6,41.1,Si può procedere con il voto favorevole,47.63888888888888,0.7632,0.6,41.1
"Il finale è assolutamente inaspettato e "" stravagante",Il finale è stato davvero deludente,48.99470899470899,0.5773,0.2857,30.2,Il finale è stato davvero deludente,48.99470899470899,0.5773,0.2857,30.2
