Normal,Simple,SARI,METEOR,ROUGE_F,BLEU,SPEARMAN_CORRELATION,PEARSON_CORRELATION
poi fortunatamente la situazione è cambiata,poi la situazione e cambiata,28.4722,0.4331,0.0909,19.4,0,0
i metodi di risparmio includono la messa da parte di denaro in una banca o in un piano pensionistico,il metodo di risparmio includono la messa da parte del denaro o in una banca o in un piano pensione,38.1996,0.393,0.0777,9.9,0,0
robson ha fatto una serie di approvazioni di prodotto tra cui un' apparizione nello spot televisivo di carlsberg best pub side,robson ha fatto un'apparizione nel televisivo televisivo carlsberg best stand,41.0152,0.1271,0.101,4.5,0,0
dichiara quindi il proprio voto contrario,dichiara il proprio voto contrario,100.0,0.996,0.1364,100.0,0,0
questa stata la prima volta nella storia di survivor che le due squadre iniziali non sono state preselezionate dai produttori,questa stata la prima volta che le due squadre non sono state prese in considerazione,36.0684,0.5836,0.2041,33.1,0,0
il punto 9 è stato rinviato,il punto 9 e rinviato,61.5741,0.6356,0.0899,35.0,0,0
questo è il primo punto e fondamentale,questo e il primo punto critico,33.0556,0.7353,0.1124,32.5,0,0
naturalmente ci sono anche le differenze,ma ci sono anche alcune significative differenze,77.1429,0.7934,0.1111,43.5,0,0
la sua capitale la di cusco la capitale dell' impero inca,la sua capitale la di cusco la dicante,49.3132,0.7019,0.1075,36.6,0,0
ma in realtà non è così,in altre realta culturali non e cosi,15.4365,0.082,0.0667,6.6,0,0
un hostname un' etichetta che viene assegnata a un dispositivo collegato a una rete di computer e che viene utilizzata per identificare il dispositivo in varie forme di comunicazione elettronica come il world wide web e-mail o usenet,un hosting un'etichetta che viene assegnata a un dispositivo che viene utilizzato per identificare o utilizzare il dispositivo collegato a una rete di computer o,27.5197,0.2691,0.1091,7.1,0,0
nozomi hiroyama un calciatore giapponese che gioca per thespa kusatsu nella j. league division 2,nozomi hiroyama un calciatore giapponese gioca per thespass kusatsu,63.8177,0.9222,0.1616,44.6,0,0
c era una cosa che non andava tuttavia,ci sono tante cose che non vanno,47.2222,0.2679,0.0222,13.1,0,0
dalla data di pubblicazione di detto avviso decorrerà altresì il termine per le eventuali impugnative,dalla data di pubblicazione di detto avviso decorre il termine per eventuali impugnative,40.4899,0.8566,0.2857,57.7,0,0
magadino un comune del canton ticino in svizzera situato nel distretto di locarno,magadino un comune del canton ticino in svizzera,100.0,0.999,0.2174,100.0,0,0
le cose non vanno affatto così,le cose non potranno andare sempre cosi,88.5913,0.8552,0.1778,80.9,0,0
devi chieder- lo direttamente alle università degli studi,devi chieder - lo alle universita degli studi,28.4921,0.6282,0.2174,16.5,0,0
le spese contrattuali accessorie relative e conseguenti sono a carico dell aggiudicatario,tutte le spese contrattuali saranno a carico dell aggiudicataria,61.2472,0.8541,0.1505,43.2,0,0
anche qui ci sono delle rilevanti novità,ma ci sono alcune novita,68.6508,0.4991,0.0909,32.6,0,0
manuel ochotorena santacruz un ex calciatore spagnolo che ha giocato come portiere,manuel ochalorez un ex calciatore spagnolo,62.4865,0.8067,0.1304,53.7,0,0
in attesa di un cortese e sollecito riscontro si inviano cordiali saluti,in attesa di un positivo riscontro si inviano i migliori saluti,44.1468,0.6027,0.0842,15.9,0,0
la british transport commission stata creata dal governo laburista del dopoguerra di clement attlee come parte del suo programma di nazionalizzazione per supervisionare ferrovie canali e trasporto merci su strada in gran bretagna,la british transport commission stata creata dal governo del dopoguerra di clement attle e delle merci su strada per oltre 100 milioni di persone,41.8318,0.5771,0.2727,39.6,0,0
dove l hai preso,dove l hai preso,45.8333,0.6441,0.046,29.6,0,0
