Normal,Simple1,SARI_1,METEOR_1,ROUGE_F_1,BLEU_1,Simple2,SARI_2,METEOR_2,ROUGE_F_2,BLEU_2
semplifica: 0.83 0.8 0.7 1.0 1 Mi sembra una cosa molto buona,Non Ma Il è La E Questo L È Questa Le Ed C In I Per Si Sono Quali Dopo Come Un Che Ci Cosa Tutto Era ma Forse Una Alla A Posto Qui Così Comunque Ringrazio Sus Può Poi Sos Anche Dove Tuttavia Ora Mi Oggi Da Siamo Prop All Ha Qual non Tutti Allora Nel Perché Sarà Gli Dichia Se Quindi Vi Sì Spero,37.503006253006255,0.1351,0.0,0.5,Ma Il Non è La E Questo L È Questa Le Ed C In I Per Si Sono Quali Dopo Come Un Che Ci Cosa Tutto Era ma Forse Una Alla A Posto Qui Così Comunque Ringrazio Sus Può Poi Sos Anche Dove Tuttavia Ora Mi Oggi Da Siamo Prop All Ha Qual non Tutti Allora Nel Perché Sarà Gli Dichia Se Quindi Vi Sì Spero,37.503006253006255,0.1351,0.0,0.5
semplifica: 1.0 1.11 0.82 0.98 1 Poi vi sono le situazioni particolari,Ma Non Il è La E Questo L È Questa Le Ed C In I Per Si Sono Quali Dopo Come Un Che Ci Cosa Tutto Era ma Forse Una Alla A Posto Qui Così Comunque Ringrazio Sus Può Poi Sos Anche Dove Tuttavia Ora Mi Oggi Da Siamo Prop All Ha Qual non Tutti Allora Nel Perché Sarà Gli Dichia Se Quindi Vi Sì Spero,36.66072489601901,0.125,0.0,0.5,Ma Non Il è La E Questo L È Questa Le Ed C In I Per Si Sono Quali Dopo Come Un Che Ci Cosa Tutto Era ma Forse Una Alla A Posto Qui Così Comunque Ringrazio Sus Può Poi Sos Anche Dove Tuttavia Ora Mi Oggi Da Siamo Prop All Ha Qual non Tutti Allora Nel Perché Sarà Gli Dichia Se Quindi Vi Sì Spero,36.66072489601901,0.125,0.0,0.5
"semplifica: 1.0 1.0 0.92 1.0 1 Dopo il comma 1 , inserire il seguente comma : 2",Ma Il Non è La E Questo L È Questa Le Ed C In I Per Si Sono Quali Dopo Come Un Che Ci Cosa Tutto Era ma Forse Una Alla A Posto Qui Così Comunque Ringrazio Sus Può Poi Sos Anche Dove Tuttavia Ora Mi Oggi Da Siamo Prop All Ha Qual non Tutti Allora Nel Perché Sarà Gli Dichia Se Quindi Vi Sì Spero,29.665223665223664,0.1212,0.0,0.5,Ma Non Il è La E Questo L È Questa Le Ed C In I Per Si Sono Quali Dopo Come Un Che Ci Cosa Tutto Era ma Forse Una Alla A Posto Qui Così Comunque Ringrazio Sus Può Poi Sos Anche Dove Tuttavia Ora Mi Oggi Da Siamo Prop All Ha Qual non Tutti Allora Nel Perché Sarà Gli Dichia Se Quindi Vi Sì Spero,29.665223665223664,0.1212,0.0,0.5
"semplifica: 1.17 1.13 0.62 0.95 1 La risposta è decisamente "" no",Non Ma Il è La E Questo L È Questa Le Ed C In I Per Si Sono Quali Dopo Come Un Che Ci Cosa Tutto Era ma Forse Una Alla A Posto Qui Così Comunque Ringrazio Sus Può Poi Sos Anche Dove Tuttavia Ora Mi Oggi Da Siamo Prop All Ha Qual non Tutti Allora Nel Perché Sarà Gli Dichia Se Quindi Vi Sì Spero,35.62669214843128,0.1163,0.0,0.5,Il Ma Non è La E Questo L È Questa Le Ed C In I Per Si Sono Quali Dopo Come Un Che Ci Cosa Tutto Era ma Forse Una Alla A Posto Qui Così Comunque Ringrazio Sus Può Poi Sos Anche Dove Tuttavia Ora Mi Oggi Da Siamo Prop All Ha Qual non Tutti Allora Nel Perché Sarà Gli Dichia Se Quindi Vi Sì Spero,35.62669214843128,0.1163,0.0,0.5
semplifica: 1.25 1.28 0.88 1.0 1 Il motivo è inammissibile,Non Ma è Il La E Questo L È Questa Le Ed C In I Per Si Sono Quali Dopo Come Un Che Ci Cosa Tutto Era ma Forse Una Alla A Posto Qui Così Comunque Ringrazio Sus Può Poi Sos Anche Dove Tuttavia Ora Mi Oggi Da Siamo Prop All Ha Qual non Tutti Allora Nel Perché Sarà Gli Dichia Se Quindi Vi Sì Spero,36.699917422166,0.1351,0.0,0.7,Ma Non Il è La E Questo L È Questa Le Ed C In I Per Si Sono Quali Dopo Come Un Che Ci Cosa Tutto Era ma Forse Una Alla A Posto Qui Così Comunque Ringrazio Sus Può Poi Sos Anche Dove Tuttavia Ora Mi Oggi Da Siamo Prop All Ha Qual non Tutti Allora Nel Perché Sarà Gli Dichia Se Quindi Vi Sì Spero,36.699917422166,0.1351,0.0,0.7
"semplifica: 0.82 0.92 0.77 1.0 1 L' appello , pertanto , è infondato e va respinto",Ma Il Non è La E Questo L È Questa Le Ed C In I Per Si Sono Quali Dopo Come Un Che Ci Cosa Tutto Era ma Forse Una Alla A Posto Qui Così Comunque Ringrazio Sus Può Poi Sos Anche Dove Tuttavia Ora Mi Oggi Da Siamo Prop All Ha Qual non Tutti Allora Nel Perché Sarà Gli Dichia Se Quindi Vi Sì Spero,32.488977072310405,0.102,0.0,0.5,Non Ma Il è La E Questo L È Questa Le Ed C In I Per Si Sono Quali Dopo Come Un Che Ci Cosa Tutto Era ma Forse Una Alla A Posto Qui Così Comunque Ringrazio Sus Può Poi Sos Anche Dove Tuttavia Ora Mi Oggi Da Siamo Prop All Ha Qual non Tutti Allora Nel Perché Sarà Gli Dichia Se Quindi Vi Sì Spero,32.488977072310405,0.102,0.0,0.5
"semplifica: 0.82 0.92 0.92 1.0 1 La seduta , sospesa alle 14.15 , è ripresa alle 14.30",Ma Il Non è La E Questo L È Questa Le Ed C In I Per Si Sono Quali Dopo Come Un Che Ci Cosa Tutto Era ma Forse Una Alla A Posto Qui Così Comunque Ringrazio Sus Può Poi Sos Anche Dove Tuttavia Ora Mi Oggi Da Siamo Prop All Ha Qual non Tutti Allora Nel Perché Sarà Gli Dichia Se Quindi Vi Sì Spero,34.11389884508164,0.102,0.0,0.7,Ma Il Non è La E Questo L È Questa Le Ed C In I Per Si Sono Quali Dopo Come Un Che Ci Cosa Tutto Era ma Forse Una Alla A Posto Qui Così Comunque Ringrazio Sus Può Poi Sos Anche Dove Tuttavia Ora Mi Oggi Da Siamo Prop All Ha Qual non Tutti Allora Nel Perché Sarà Gli Dichia Se Quindi Vi Sì Spero,34.11389884508164,0.102,0.0,0.7
"semplifica: 0.75 0.72 0.71 0.86 2 I numeri , tuttavia , non sono tutto",Ma Non Il è La E Questo L È Questa Le Ed C In I Per Si Sono Quali Dopo Come Un Che Ci Cosa Tutto Era ma Forse Una Alla A Posto Qui Così Comunque Ringrazio Sus Può Poi Sos Anche Dove Tuttavia Ora Mi Oggi Da Siamo Prop All Ha Qual non Tutti Allora Nel Perché Sarà Gli Dichia Se Quindi Vi Sì Spero,38.11581920903955,0.2083,0.0,0.7,Il Ma Non è La E Questo L È Questa Le Ed C In I Per Si Sono Quali Dopo Come Un Che Ci Cosa Tutto Era ma Forse Una Alla A Posto Qui Così Comunque Ringrazio Sus Può Poi Sos Anche Dove Tuttavia Ora Mi Oggi Da Siamo Prop All Ha Qual non Tutti Allora Nel Perché Sarà Gli Dichia Se Quindi Vi Sì Spero,38.11581920903955,0.2083,0.0,0.7
"semplifica: 0.78 0.73 0.71 1.0 1 Max , cosa c' è che non va",Ma Non Il è La E Questo L È Questa Le Ed C In I Per Si Sono Quali Dopo Come Un Che Ci Cosa Tutto Era ma Forse Una Alla A Posto Qui Così Comunque Ringrazio Sus Può Poi Sos Anche Dove Tuttavia Ora Mi Oggi Da Siamo Prop All Ha Qual non Tutti Allora Nel Perché Sarà Gli Dichia Se Quindi Vi Sì Spero,34.46499153020892,0.155,0.0,0.7,Ma Non Il è La E Questo L È Questa Le Ed C In I Per Si Sono Quali Dopo Come Un Che Ci Cosa Tutto Era ma Forse Una Alla A Posto Qui Così Comunque Ringrazio Sus Può Poi Sos Anche Dove Tuttavia Ora Mi Oggi Da Siamo Prop All Ha Qual non Tutti Allora Nel Perché Sarà Gli Dichia Se Quindi Vi Sì Spero,34.46499153020892,0.155,0.0,0.7
semplifica: 1.0 1.08 0.81 0.91 1 Però le cose sono cambiate,Ma Il Non è La E Questo L È Questa Le Ed C In I Per Si Sono Quali Dopo Come Un Che Ci Cosa Tutto Era ma Forse Una Alla A Posto Qui Così Comunque Ringrazio Sus Può Poi Sos Anche Dove Tuttavia Ora Mi Oggi Da Siamo Prop All Ha Qual non Tutti Allora Nel Perché Sarà Gli Dichia Se Quindi Vi Sì Spero,34.34349763297132,0.0901,0.0,0.5,Ma Non Il è La E Questo L È Questa Le Ed C In I Per Si Sono Quali Dopo Come Un Che Ci Cosa Tutto Era ma Forse Una Alla A Posto Qui Così Comunque Ringrazio Sus Può Poi Sos Anche Dove Tuttavia Ora Mi Oggi Da Siamo Prop All Ha Qual non Tutti Allora Nel Perché Sarà Gli Dichia Se Quindi Vi Sì Spero,34.34349763297132,0.0901,0.0,0.5
