Normal,Simple1,SARI_1,METEOR_1,ROUGE_F_1,BLEU_1,Simple2,SARI_2,METEOR_2,ROUGE_F_2,BLEU_2
« Sono una cosa sola .,Sono una cosa sola »,40.4762,0.3,0.0,14.1,Sono una cosa sola »,40.4762,0.3,0.0,14.1
"Anzi , siamo in ritardo .",Sei un pò in ritardo,100.0,0.996,1.0,100.0,Sei un pò in ritardo,100.0,0.996,1.0,100.0
Ma i problemi sono altri .,Ma il vero problema è un altro,84.5833,0.8413,0.6,48.9,Ma il problema vero è un altro,79.4444,0.8036,0.4,32.2
Questo è un aggiornamento della situazione nei 22 paesi europei con più di 100.000 host,Questo è un aggiornamento della situazione nei 21 paesi europei con più di 100. 000,35.4044,0.8431,0.8462,60.3,Questo è un aggiornamento della situazione nei 21 paesi europei con più di 100. 000,35.4044,0.8431,0.8462,60.3
"Nel complesso , il giudizio è positivo",Il giudizio è nel complesso positivo.,70.0758,0.712,0.4444,13.5,Il giudizio è nel complesso positivo.,70.0758,0.712,0.4444,13.5
Questa sarebbe una bella idea .,è indubbiamente una bella idea,50.4167,0.1948,0.0,7.7,Questa è un idea nuova e bella,60.5556,0.1266,0.0,6.8
"Il punto , però , è un altro .",Il punto però è un altro,65.9091,0.8067,0.5,38.0,Il punto però è un altro,65.9091,0.8067,0.5,38.0
I posti annualmente disponibili sono 6 .,I posti disponibili sono 30,78.0952,0.6727,0.6667,54.8,I posti disponibili sono 30,78.0952,0.6727,0.6667,54.8
"Ma non è tutto rose e fiori , naturalmente",Non è tutto rose e fiori.,26.918,0.5068,0.4,20.9,Non è tutto rose e fiori.,26.918,0.5068,0.4,20.9
"All' articolo 48 , il comma 2 è sostituito dal seguente : "" 2",Il comma 1 dell'articolo 2 è sostituito con il seguente : 1.,86.18,0.8089,1.0,70.5,Il comma 1 dell'articolo 2 è sostituito con il seguente : 1.,86.18,0.8089,1.0,70.5
""" Questa è una bella domanda ""","è una domanda fondamentale "".",28.0556,0.526,0.0,19.3,Questa è una domanda estremamente seria.,37.963,0.7311,0.2857,27.8
"La cucina umbra è abbondante , sana , gustosa e genuina",La sua ricetta è buona e sua.,55.8135,0.2817,0.0,7.8,La pane è buona e giusta.,55.8135,0.2857,0.0,9.3
Forse c' è anche un problema metodologico,E c'è un altro problema.,54.881,0.7361,0.25,15.2,E c'è un altro problema.,54.881,0.7361,0.25,15.2
Chi volesse saper- ne di più può visitare il sito,Per saper - ne di più visitare il sito,47.6984,0.4738,0.6667,23.4,Per saper - ne di più si può visitare il sito,43.4936,0.4635,0.5882,18.4
Ma la posta in gioco era già quella,Tale è la sua posta in gioco.,52.6263,0.5575,0.1818,23.4,Tale è la sua posta in gioco.,52.6263,0.5575,0.1818,23.4
"Conseguentemente , sostituire il comma 5 , con il seguente : 5 .",il comma 2 è sostituito dal seguente : « 2,80.7753,0.7603,0.5,41.1,il comma 2 è sostituito dal seguente : « 2,80.7753,0.7603,0.5,41.1
Ad alzare il livello dello scontro,Così alza il livello dello scontro.,100.0,0.9985,1.0,100.0,Così alza il livello dello scontro.,100.0,0.9985,1.0,100.0
