Normal,Simple,SARI,METEOR,ROUGE_F,SPEARMAN_CORRELATION,PEARSON_CORRELATION
Si resero conto che avere dei buoni amici è più importante di vincere.,Ma non era un problema.,9.5911,0.0439,0,0,0
" con i limiti e le abilità; dettate dalla dadi, schede ed uneventuale mappa le uniche cose fisiche presenti sul tavo  olo seguono lo schema fissato dal primo  pubblicato, dungeons &amp; dragons. io come un piccolo ritrovo sociale. uno d  pg). questa ambientazione include sfide che i personaggi devono superare mediant   i dettagli completi dell'ambientazione vengono tenuti segreti, ma la descrizione ge   suo posto nell'ambientazione del gioco. elencate le varie informazioni  al master e agli altri  per comprendere e conoscere quel determinato personaggio. oltre alla storia, ai dati numerici, e  o della scheda, possono essere inseriti equipaggiament lo stato di saluteapprti a una gilda o ad una corporazione i punti esperienza accumulati ecc.","i bambini e i bambini, non sono in grado di comunicare comunicare con i bambini.",8.3091,0.0277,0,0,0
"- Cosa mi è successo? - pensò disperato Ugolino, cercando di trovare di una spiegazione.",Ma non non aveva pensato pensato che che non non riusciva a fare fare a qualcosa a nessuno.,14.8856,0.0291,0,0,0
"Dovevano tutti semplicemente fare buon viso a cattivo gioco e restare a casa, anche se poteva essere un po’ noioso.","Ma non era un gatto gatto, ma era un cane.",19.56,0.0962,0,0,0
" zioni con una delle pi&#xf9; lunghe tradizion nella progettazione e costruzione di sottomarini spicca anche il giappone, che mise in servizio i suoi primi i già; a partire dalla guerra russo giapp  'epoca modernissime, come l'unità; nr. 71. sorprendentemente peró; i progetti delle unità; realizzate durante la seconda guerra mondiale,  dell class i-400 e kd, non furono altrettanto rius  à; dalle dimensioni spropositate, spesso ate di un hangar per ospitare un velivol  inisottomarino o un kaiten da impiegare  attacchi le unità; nemiche ormeggiate in porto. qu  ute agli alleati che le ispezionarono nei porti giapponesi erano ormeggiate. il grosso della flotta venne quindi autoaffondato al largo delle coste, mentre alcune poche unità;, ritenute di interesse d parte delle forze alleate furono trasfe  la marina militare giapponese ricevette in prestito dagli stati uniti un sottoma  se gato che portava il nome di uss mingo. il primo sottomarino di fabbricazione giapponese a e in servizio nel dopoguerra fu invece lo   fu la prima unità; della classe hayashioa ulteriri tre  che vennero acquisit nel corso degli anni. attualmente il giappone possiede una flottiglia di 18 unità; convenzionali e sta sperimentando battelli con propul  nto della precedente classe yushio, con scafo a goccia e siluri guidati di tipo mk48 adcap,  sonar fisso zqq e sonar filabile tass ( ","il primo primo, il primo, di un anno, e il suo primo anno, quando si è è trasformato in un po '",6.1098,0.0277,0,0,0
Ma l'entrata del cortile della casa era troppo piccola per il camion del trasloco.,La sua mamma era stata presa da un camion.,12.363,0.1227,0,0,0
"Ernesta e la cagnetta Chiazza scesero dal razzo un po' sospettose e, con gli occhi ben aperti, camminarono quasi in punta di piedi su quell'asteroide misterioso: temevano di veder sbucare all'improvviso dei mostri con orride squame e dalle bocche puzzolenti!","Ida e Sofia presero coraggio e la sua sua amica e le corse corsero a correre e a correre, e correre a correre.",28.0102,0.0755,0,0,0
"Il babbo mi darà delle lezioni, perché temo di aver dimenticato molto di quello che ho imparato a scuola.",Ma non era un bambino.,48.1798,0.0333,0,0,0
"In un primo momento, voleva fare del male alla cagna.",Ma non aveva pensato a lui.,1.2821,0.0435,0,0,0
“Ti ho imbrogliato! Mi dispiace!”.,“ “ “ ” “ “ pensò “ “! “ “ Mamma!!! “ ”!! ”! “!!,6.0185,0.1739,0,0,0
