Normal,Simple1,SARI_1,METEOR_1,ROUGE_F_1,BLEU_1,Simple2,SARI_2,METEOR_2,ROUGE_F_2,BLEU_2
Nel mio caso si tratta di questo,In questo caso si tratta di un ulteriore caso,82.5,0.7812,0.7143,58.7,In questo caso si tratta di un ulteriore caso,82.5,0.7812,0.7143,58.7
Ma c' è un altro nodo da sciogliere,Il vero nodo da sciogliere era un'altro,39.24242424242424,0.2904,0.1538,12.6,Il vero nodo da sciogliere era un'altro,39.24242424242424,0.2904,0.1538,12.6
"Aidan stava sudando perché era caldo, ed era fuori allenamento","Aidan stava sudando perché era molto caldo, ed era felice",24.860580595874712,0.8137,0.6667,58.8,"Aidan stava sudando perché era molto caldo, ed era felice",24.860580595874712,0.8137,0.6667,58.8
"Si , ma è un processo lento",è comunque un processo lento,91.66666666666667,0.996,1.0,100.0,è comunque un processo lento,91.66666666666667,0.996,1.0,100.0
Ma non è una cosa così scontata,Ma non deve essere così semplice,26.05820105820106,0.098,0.0,4.1,Ma non deve essere così semplice,26.05820105820106,0.098,0.0,4.1
Anche questo è un segno dei tempi,è il segno dei tempi,52.88359788359789,0.6356,0.5714,32.6,è il segno dei tempi,52.88359788359789,0.6356,0.5714,32.6
Però c' è anche una buona notizia,Ed è una buona notizia,91.66666666666667,0.996,1.0,100.0,Ed è una buona notizia,91.66666666666667,0.996,1.0,100.0
Le porte sono aperte,Tutte le porte sono aperte,30.277777777777782,0.8203,0.6667,40.9,Tutte le porte sono aperte,30.277777777777782,0.8203,0.6667,40.9
Ma non è uno scherzo,Non è stato uno scherzo,83.33333333333333,0.996,1.0,100.0,Non è stato uno scherzo,83.33333333333333,0.996,1.0,100.0
"I generi alimentari , ricevuti dall' esterno o acquistati , non devono eccedere in quantità il fabbisogno mensile di una persona","I generi alimentari, provenienti dall'esterno o dall'azienda, non devono eccedere in quantità il bisogno mensile di una persona",36.65619081640754,0.6707,0.6111,36.7,"I generi alimentari, provenienti dall'esterno o dall'azienda, non devono eccedere in quantità il bisogno mensile di una persona",36.65619081640754,0.6707,0.6111,36.7
Ma forse non è neppure questo il punto,Ma non è il punto,75.0,0.996,1.0,100.0,Ma non è il punto,75.0,0.996,1.0,100.0
"_ * "" Maxx : Sempre a riguardo del tuo lato tecnico : Hai seguito qualche corso di disegno in particolare o sei completamente autodidatta",""" Maxx - sempre a riguardo del tuo lato tecnico : hai seguito qualche corso di disegno in particolare o sei completamente autodittabile",50.56832580088393,0.9045,0.9474,65.3,_ _ _ Maxx - sempre a riguardo del tuo lato tecnico : hai seguito qualche corso di disegno in particolare o sei completamente autosufficiente,52.14952238208051,0.8964,0.9474,59.7
"Sussistono , tuttavia , giusti motivi per compensare fra le parti le spese del doppio grado di giudizio",Sussistono giusti motivi per compensare tra le parti le spese del doppio grado di giudizio,57.18544902523231,0.7087,0.6,46.4,Sussistono giusti motivi per compensare tra le parti le spese del doppio grado di giudizio,57.18544902523231,0.7087,0.6,46.4
Brian Cowen è l'attuale Taoiseach dell'Irlanda,Brian Cowen è il Taocete dell'Irlanda,27.777777777777775,0.3775,0.1538,21.6,Brian Cowen è il taoiste dell'Irlanda,27.777777777777775,0.3775,0.1538,21.6
"Anche in questo caso, l'utilizzo affidabile consente fino a 50 spazi alla volta",Anche in questo caso l'utilizzo è consentito fino a 50 posti alla volta,16.929824561403507,0.6964,0.64,29.6,Anche in questo caso l'utilizzo è consentito fino a 50 posti alla volta,16.929824561403507,0.6964,0.64,29.6
Questo film è decisamente da vedere,Il film è da vedere,42.32804232804233,0.4642,0.5,17.0,Il film è da vedere,42.32804232804233,0.4642,0.5,17.0
Non è solo una provocazione,Non è stata una semplice provocazione,45.55555555555555,0.526,0.0,10.7,Non è stata una semplice provocazione,45.55555555555555,0.526,0.0,10.7
"si preme insert più 6 , tastiera estesa",si premette inserzioni più cliccate,28.054353054353054,0.0735,0.0,7.2,"si premette inserzioni più 6, 0",29.973544973544975,0.2679,0.1818,13.1
E questa qui è una cosa grave,E fu una cosa grave,49.642857142857146,0.5515,0.4444,28.6,E fu una cosa grave,49.642857142857146,0.5515,0.4444,28.6
Dopo l' articolo 15 aggiungere : Art,Dopo l'articolo 15 aggiungere il seguente : « Art,52.44949494949495,0.735,1.0,67.2,Dopo l'articolo 15 aggiungere il seguente : « Art,52.44949494949495,0.735,1.0,67.2
