Normal,Simple,SARI,METEOR,ROUGE_F,SPEARMAN_CORRELATION,PEARSON_CORRELATION
"La virtù stare nel mezzo , come sempre .",La virtù stare sempre nel mezzo,100.0,0.9977,0,0,0
""" Anche questa essere una scoperta straordinaria .",essere una grande scoperta scientifica,35.754,0.5111,0,0,0
"so , come praticamente sempre , di dire cose non nuove , anzi ovvie",so che non dovere dire cose nuove.,76.7977,0.7923,0,0,0
"Pone , quindi ai voti l ' articolo 1 che essere approvare .",Posto ai voti essere approvare l'articolo 27,63.4596,0.5659,0,0,0
Sostituire l ' articolo 134 con il seguente : Art,L'articolo 44 essere sostituire dal seguente : « Art,63.4247,0.5547,0,0,0
- Non essere un problema,Non essere un suo problema personale.,53.3333,0.6098,0,0,0
La ringraziare anticipatamente per l ' aiuto .,La ringraziare per il suo aiuto,89.2063,0.8535,0,0,0
Per ulteriori informazioni telefonare allo 02 54122521 .,Per informazioni si potere telefonare allo 055 2760421,54.6296,0.6048,0,0,0
Quali essere le fonti inquinanti ?,Quali essere essere le tue fonti principali,69.4643,0.9654,0,0,0
Non si potere fare di più .,Non potere fare tanto di più,71.5278,0.8067,0,0,0
Il giudizio complessivo essere : più che sufficiente .,Il giudizio complessivo essere più che sufficiente,60.6439,0.7632,0,0,0
Anche questo essere piuttosto sotto gli occhi di tutti .,Tutto questo essere sotto gli occhi di tutti,72.6394,0.6726,0,0,0
"Il punto , infatti , essere proprio questo .",Il punto decisivo essere proprio questo,66.6667,0.949,0,0,0
Per ulteriori informazioni telefonare al numero verde 800 211537 .,Per informazioni telefonare al numero 0547 94901,75.0,0.7114,0,0,0
"La Commissione approvare , quindi , la proposta di parere del relatore .",La Commissione approvare quindi la proposta di parere favorevole del relatore,76.3947,0.8968,0,0,0
Ma il principale obiettivo essere essere raggiungere,Il principale obiettivo essere raggiungere.,60.7407,0.8067,0,0,0
"Ma prova- lo , non ti costare un centesimo",Ma non provare un'importo.,43.4226,0.2597,0,0,0
Per ulteriori informazioni visitare il sito provinciale .,Per ulteriori informazioni visitare il sito ufficiale,54.6296,0.6692,0,0,0
Qui ' essere le 20 e 30,L'8 essere dalle 8 e 30.,69.1071,0.5208,0,0,0
Ma la vera novità essere un ' altra,Ma la novità vera essere unâ € altra.,38.3165,0.6768,0,0,0
"Una volta , Ernesta Sparalesta capitare in uno strano paese assieme ai suoi inseparabili amici : Luigi l’ elettricista , Mario l’ idraulico , Nicola l’ imbianchino e Antonio il pescivendolo .","Una volta, Ernesta Sparalesta arrivare in un paese con i suoi amici : Luigi, Mario, Mario e i suoi colleghi colleghi :",26.3685,0.4131,0,0,0
Quanto essere cambiare le cose !,Ma le cose essere cambiare,68.3532,0.6356,0,0,0
"Inoltre , sostituire l ' articolo 13 con il seguente : "" Art",Sostituire l'articolo 106 con il seguente : Art,36.2374,0.3505,0,0,0
Ma il concetto essere quello .,Ma essere un concetto generale,25.754,0.2206,0,0,0
"Ecco , qui stare il punto .",Ma proprio qui stare il punto,62.963,0.7782,0,0,0
"Sostituire , inoltre , il comma 2 dell ' articolo 2 con il seguente : "" 2",Il comma 1 dell'articolo 2 essere sostituire con il seguente : 1.,43.2067,0.556,0,0,0
Ma questa essere comunque un ' altra storia,Ma questa essere tutta un'altra storia.,38.373,0.6127,0,0,0
Quali essere le conseguenze pratiche ?,Quali essere essere le conseguenze,50.0,0.75,0,0,0
Lo scorso anno essere 225 .,L'anno essere il 1850,56.9841,0.3233,0,0,0
essere sotto gli occhi di tutti .,Tutto questo essere sotto gli occhi di tutti,100.0,0.999,0,0,0
articolo 20 inserire il seguente : « Art,"Dopo l'articolo 6, essere inserire il seguente : « Art",59.5833,0.6113,0,0,0
"Sicuro di una vostra puntuale risposta , vi ringraziare anticipatamente",Sicuro di una vostra risposta ringraziare anticipatamente.,81.2373,0.8737,0,0,0
"All ' articolo 9 : 32 ) Aggiungere il seguente comma : "" 5","All'articolo 1, dopo il comma 1 essere aggiungere il seguente : "" 2.",67.9952,0.6481,0,0,0
« Questo essere un altro problema aperto,Questo essere un problema gigantesco.,48.4722,0.4574,0,0,0
Non saprei da che parte cominciare !,Non sapere da che parte cominciare,75.5556,0.8535,0,0,0
"L ' articolo 12 recare , infine , le norme di copertura finanziaria .",L'articolo 3 recare le norme di copertura finanziaria,63.0357,0.6108,0,0,0
"( * * ) Nessuno potere appartenere contemporaneamente a un Consiglio o a una Giunta regionale e ad una delle Camere del Parlamento , ad un altro Consiglio o ad altra Giunta regionale , ovvero al Parlamento europeo","Nessuno potere appartenere ad una Gruppo o di una lista unica dell'Assemblea del Consiglio e ad una delle Camere Camere, ed ad una seduta",15.1999,0.2976,0,0,0
Non si potere far- ne a meno .,Non potere fare di meno,100.0,0.996,0,0,0
"Ahimè , quelli essere sotto gli occhi di tutti",essere sotto gli occhi di tutti.,66.6667,0.8552,0,0,0
Visti gli atti tutti di causa,Visti gli atti di causa.,72.963,0.8067,0,0,0
Il giudizio essere molto positivo .,Il mio giudizio essere estremamente positivo,51.3889,0.4574,0,0,0
"Nata nel 1843 , morire nel 1900",Nascere nel 1805 morire nel 1862.,61.3294,0.4509,0,0,0
Ma la verità essere un ' altra,La verità essere invece un'altra.,38.75,0.4808,0,0,0
Il problema essere proprio questo,Questo essere il grande problema.,100.0,0.9977,0,0,0
Non essere mica una novità da poco ! ! ! !,Non essere mica una novità!,22.938,0.5718,0,0,0
E questo essere un fatto assolutamente significativo » .,Questo essere un fatto significativo ed importante,52.2817,0.6506,0,0,0
Il giudizio essere : più che buono .,Il giudizio complessivo essere buono,68.0093,0.4615,0,0,0
« Questo essere un altro problema,Il problema essere essere un altro.,49.7222,0.7311,0,0,0
Ciò essere facile da comprendere,essere molto difficile da comprendere.,83.3333,0.8067,0,0,0
""" Ma questa essere soltanto una parte del problema .",Ma essere solo una parte del problema,88.1313,0.8552,0,0,0
"articolo , inserire il seguente : « Art",Dopo l'articolo 8 essere inserire il seguente : Art,69.7601,0.5948,0,0,0
Il giudizio essere : ottimo,Il giudizio complessivo essere quindi ottimo.,60.7407,0.6098,0,0,0
Questa essere infatti l ' ora della preghiera vespertina,essere l'ora della preghiera.,40.3571,0.5515,0,0,0
"Ma il peggio , forse , dovere ancora venire .",E il peggio dovere ancora venire,93.1746,0.8676,0,0,0
Ma gli attori essere davvero tutti molto bravi .,gli attori essere molto bravi,58.75,0.6313,0,0,0
Ma questo potere essere solo l ' inizio .,Ma questo essere solo l'inizio,39.7354,0.3178,0,0,0
"Oggi , la storia si ripetere .",La storia si essere ripetere,100.0,0.996,0,0,0
Quindi anche qui i conti non tornare,Ma i conti non tornare.,100.0,0.9977,0,0,0
"E allora , dov ' essere davvero il problema ?",Dov'essere allora il problema,48.0159,0.4395,0,0,0
Ma il punto essere proprio questo,Ma il punto essere proprio lì.,53.2407,0.5646,0,0,0
Ciascuno si assumere le proprie responsabilità,Ciascuno dovere assumer - si le proprie responsabilità.,82.0346,0.8541,0,0,0
"La seduta essere tolta ( ore 10,35 )","La seduta essere tolgere alle ore 14, 35.",84.1667,0.8437,0,0,0
Quali essere i tuoi veri obiettivi,Quali essere i tuoi obiettivi?,61.8519,0.8067,0,0,0
"Ma la strada essere lunga "" .",La strada essere ancora lunga,66.6667,0.75,0,0,0
Non essere forse questa la natura umana ?,Non essere forse la natura,55.6944,0.75,0,0,0
Tanto lo sapere come andare a finire,Sapete come andare a finire.,65.6614,0.7217,0,0,0
"Il braccio di ferro , quindi , continuare",Il braccio di guerra continuare.,48.1944,0.625,0,0,0
"essere , infatti , in una fase davvero particolare della cruenta transizione irachena",essere in una fase di transizione.,90.0,0.8757,0,0,0
"Conseguentemente , sostituire il comma 2 , con il seguente : « 2",b ) il comma 2 essere sostituire dal seguente : « 2.,92.2123,0.9818,0,0,0
La risposta essere : NO .,La risposta essere ovviamente NO,55.5556,0.535,0,0,0
« La strada essere questa,« Questa essere la nostra strada maestra.,56.5741,0.4032,0,0,0
Il giudizio essere pertanto pienamente positivo .,Il mio giudizio essere estremamente positivo,45.463,0.6189,0,0,0
"Sussistono , tuttavia , giusti motivi per disporre la compensazione delle spese del giudizio",Sussistono giusti motivi per disporre la compensazione delle spese di questo giudizio.,100.0,0.9998,0,0,0
Per noi questa essere una vittoria,Per noi essere una vittoria.,100.0,0.9977,0,0,0
Prima dell ' articolo 603 del codice penale e inserire il seguente : « Art,Dopo l'articolo 491 del codice penale essere inserire il seguente : Art,78.4854,0.7217,0,0,0
Soprattutto non volere aver- ne paura,Soprattutto non volere aver - ne paura.,56.9444,0.7806,0,0,0
"Il resto venire da sé , spontaneamente , naturalmente",Il resto venire da sé.,66.0317,0.8535,0,0,0
essere sempre questo il problema .,Questo essere il grosso problema,73.6111,0.75,0,0,0
La mia risposta essere : no,La risposta essere ancora no.,77.0833,0.8067,0,0,0
E questo essere un male ?,essere necessariamente un male italiano,66.6667,0.5111,0,0,0
« Le cose essere cambiare .,Ma alcune cose essere cambiare,66.6667,0.5889,0,0,0
Quali essere i principali annessi cutanei ?,Quali essere i principali componenti delle sistema nervoso centrale,55.5556,0.6944,0,0,0
"articolo 33 , inserire il seguente : « Art",Dopo l'articolo 14 essere inserire il seguente : Art,75.8628,0.6406,0,0,0
Oggi le cose non andare molto diversamente,Le cose non andare bene.,70.8333,0.8067,0,0,0
Lo avere riferire oggi fonti ospedaliere,Lo avere riferire una fonte ospedaliera del Vaticano.,56.4352,0.463,0,0,0
"L ' articolo 13 , infine , recare norme transitorie e finali .",L'articolo 17 recare infine alcune norme transitorie,41.6181,0.2745,0,0,0
Che essere dunque l ' amore ?,Che cos'essere dunque l'amore,32.9365,0.0746,0,0,0
Il che essere pure vero .,Il che potere essere vero,100.0,0.996,0,0,0
Ma questa non essere una novità : Anzi .,Ma non essere una novità,65.7407,0.7938,0,0,0
ma quello essere solo l ' inizio ! !,Ma essere solo l'inizio,38.4127,0.5077,0,0,0
Per ora la risposta essere : assolutamente no,La risposta essere ovviamente no.,100.0,0.9977,0,0,0
"Ora , invece , i nodi venire al pettine .",E adesso tutti i nodi venire al pettine,70.0,0.8294,0,0,0
La ringraziare in anticipo delle sue risposte,ringraziare in anticipo per le risposte.,52.5,0.55,0,0,0
- Non essere una barzelletta .,E non essere una barzelletta,100.0,0.996,0,0,0
al peggio non c ' essere mai limite .,Non c'essere limite al peggio,23.4812,0.3322,0,0,0
« E qual essere il problema ?,E il problema qual essere,40.8333,0.7559,0,0,0
Questo naturalmente essere il mio modesto parere,Questo essere il mio modestissimo parere.,79.1667,0.8413,0,0,0
« essere un fatto molto grave,essere un fatto molto grave.,56.2963,0.7433,0,0,0
All ' udienza del 20 ottobre 2004 il ricorso essere essere trattenere per la decisione,"Alla pubblica udienza del 17 ottobre 2000, il ricorso venire trattenere per la decisione.",100.0,0.9999,0,0,0
"Sostituire il comma 10 , con il seguente : 10",Il comma 2 essere sostituire dal seguente : « 2.,82.2454,0.803,0,0,0
