Normal,Simple1,SARI_1,METEOR_1,ROUGE_F_1,BLEU_1,Simple2,SARI_2,METEOR_2,ROUGE_F_2,BLEU_2
Nel mio caso si tratta di questo,In quel caso si tratta,49.623015873015866,0.5515,0.4,28.6,In quel caso si tratta,49.623015873015866,0.5515,0.4,28.6
Ma c' è un altro nodo da sciogliere,Il vero nodo da sciogliere era un'altro,39.24242424242424,0.2904,0.1538,12.6,Il vero nodo da sciogliere era un'altro,39.24242424242424,0.2904,0.1538,12.6
"Aidan stava sudando perché era caldo, ed era fuori allenamento","Aidan era sudato, ed era fuori allenamento",18.743386243386244,0.6285,0.4,38.6,"Aidan era sudato, ed era fuori allenamento",18.743386243386244,0.6285,0.4,38.6
"Si , ma è un processo lento",è sempre un processo lento,58.333333333333336,0.75,0.6667,42.7,"è un processo lento, lento",47.72486772486773,0.6189,0.6667,32.5
Ma non è una cosa così scontata,Non è una piccola cosa,91.66666666666667,0.996,1.0,100.0,Ma non deve essere una cosa assoluta,31.712962962962962,0.2885,0.0,7.8
Anche questo è un segno dei tempi,è il segno dei tempi,52.88359788359789,0.6356,0.5714,32.6,è il segno dei tempi,52.88359788359789,0.6356,0.5714,32.6
Però c' è anche una buona notizia,Ed è una buona notizia,91.66666666666667,0.996,1.0,100.0,Ed è una buona notizia,91.66666666666667,0.996,1.0,100.0
Le porte sono aperte,Tutte le porte sono aperte,30.277777777777782,0.8203,0.6667,40.9,Tutte le porte sono aperte,30.277777777777782,0.8203,0.6667,40.9
Ma non è uno scherzo,Non è stato uno scherzo,83.33333333333333,0.996,1.0,100.0,Non è stato uno scherzo,83.33333333333333,0.996,1.0,100.0
"I generi alimentari , ricevuti dall' esterno o acquistati , non devono eccedere in quantità il fabbisogno mensile di una persona",I generi alimentari non ricevono eccedenza dall'esterno o non devono eccedere il bisogno di una persona,36.68081343943413,0.5606,0.4848,19.3,I generi alimentari non ricevono eccedenza dall'esterno o non devono eccedere in quantità il cibo mensile di una persona,45.84534134166487,0.6742,0.6111,38.8
Ma forse non è neppure questo il punto,Ma non è il punto,75.0,0.996,1.0,100.0,Ma non è il punto,75.0,0.996,1.0,100.0
"_ * "" Maxx : Sempre a riguardo del tuo lato tecnico : Hai seguito qualche corso di disegno in particolare o sei completamente autodidatta",""" Max "" : sempre a riguardo del tuo aspetto tecnico : Hai seguito qualche corso di disegno in particolare o sei completamente autosufficiente",46.788301245538094,0.8554,0.7895,62.4,_ _ _ xxx : Sempre a riguardo del tuo aspetto tecnico : Hai seguito qualche corso di disegno in particolare o sei completamente autosufficiente,46.788301245538094,0.8515,0.7895,67.5
"Sussistono , tuttavia , giusti motivi per compensare fra le parti le spese del doppio grado di giudizio",Sussistono giusti motivi per compensare tra le parti le spese del doppio grado di giudizio,57.18544902523231,0.7087,0.6,46.4,Sussistono giusti motivi per compensare tra le parti le spese del doppio grado di giudizio,57.18544902523231,0.7087,0.6,46.4
Brian Cowen è l'attuale Taoiseach dell'Irlanda,Brian Cowenty è l'attuale taoiste dell'Irlanda,19.722222222222218,0.3276,0.1429,12.9,Brian Cowenty è l'attuale taoiste dell'Irlanda,19.722222222222218,0.3276,0.1429,12.9
"Anche in questo caso, l'utilizzo affidabile consente fino a 50 spazi alla volta",Anche in questo caso l'utilizzo consente fino a 50 posti alla volta,19.897435897435894,0.7779,0.72,40.4,Anche in questo caso l'utilizzo consente fino a 50 posti alla volta,19.897435897435894,0.7779,0.72,40.4
Questo film è decisamente da vedere,Il film è da vedere,42.32804232804233,0.4642,0.5,17.0,Il film è da vedere,42.32804232804233,0.4642,0.5,17.0
Non è solo una provocazione,Non è stata una semplice provocazione,45.55555555555555,0.526,0.0,10.7,Non è solo una provocazione,12.962962962962964,0.6356,0.2857,19.4
"si preme insert più 6 , tastiera estesa",si premette destra e sinistra,25.303030303030308,0.0,0.0,3.6,si preme cliccare più o destra,25.075757575757574,0.0725,0.0,6.9
E questa qui è una cosa grave,è una cosa gravissima,31.56746031746032,0.3814,0.2857,16.7,è una cosa gravissima,31.56746031746032,0.3814,0.2857,16.7
Dopo l' articolo 15 aggiungere : Art,Dopo l'articolo 15 aggiungere il seguente : « Art,52.44949494949495,0.735,1.0,67.2,Dopo l'articolo 15 aggiungere il seguente : « Art,52.44949494949495,0.735,1.0,67.2
