Normal,Simple,SARI,METEOR,ROUGE_F,SPEARMAN_CORRELATION,PEARSON_CORRELATION
Mi conforta sapere che ieri hai terminato di lavorare prima,Mi sa che hai fatto bene di finire.,31.8849,0.3897,0,0,0
Ieri allo zoo ho visto tantissimi animali anche cinghiali e lepri.,"A volte ho visto un pesce, come le foglie e gli asini",21.152,0.2206,0,0,0
Mia mamma mi redarguisce sempre ed è molto severa con me e a volta mi spaventa,Mia mamma mi consiglia di fare così e laico è molto rigida.,34.8397,0.4934,0,0,0
La nonna ieri eè caduta dalle scale e si è rotta il femore,La vecchia casa è caduta nel vuoto.,40.4293,0.1531,0,0,0
La ringrazio dell' attenzione e la saluto cordialmente,La ringrazio per l'attenzione prestatami e la saluto cordialmente.,45.3175,0.6181,0,0,0
"Questa sarebbe una cosa positiva "" .",Questa è una cosa gravissima,86.1111,0.7938,0,0,0
Grazie Si rivolga alle università degli studi .,Deve rivolger - si alle università degli studi,69.4444,0.7031,0,0,0
E a posteriori è anche facile,E a lungo è stato tutto più facile.,62.1286,0.5167,0,0,0
Ma facciamo un passo più avanti .,Ma facciamo un lungo passo indietro,41.5675,0.1667,0,0,0
Così non si va da nessuna parte !,Non potete andare da nessuna parte!,100.0,0.9985,0,0,0
