Normal,Simple1,SARI_1,METEOR_1,ROUGE_F_1,BLEU_1,Simple2,SARI_2,METEOR_2,ROUGE_F_2,BLEU_2
L'ora di punta,L'ora di punta è alta,0.0,0.0,0.0,5.3,L'ora di punta è alta,0.0,0.0,0.0,5.3
"Permesso, permesso... - Sandra, l'orata, aveva fretta, ma farsi strada nell'ora di punta non era facile","permesso, l'ora, aveva fretta, ma aveva fretta nell'aria",29.689608636977056,0.0,0.0,1.9,"permesso, l'ora, aveva fretta, ma aveva fretta nell'aria",29.689608636977056,0.0,0.0,1.9
"C'era il branco di sardine che tornava a casa, i calamari che andavano in superficie, i tonni al largo, i polipi sotto le rocce i granchi in spiaggia","C'era il branco di corvi che tornava a casa, i cigni che andavano in superficie, i trodoni nel mare aperto",25.20323076810126,0.0,0.0,0.9,"C'era un branco di corvi che tornava a casa, i colossales che andavano in superficie, i giaci nel mare aperto",26.46967723259517,0.0,0.0,0.9
Tutti i giorni la stessa storia: quel punto del mare si riempiva di pesci che andavano e venivano in tutte le direzioni,"Tutti i giorni la stessa storia, quella del mare è piena di pesci che vanno in tutte le direzione",25.171955043278572,0.0,0.0,1.0,"Tutti i giorni la stessa storia, quella del mare, si riempire di pesci che vanno in tutte le direzione",24.785530312095773,0.0,0.0,0.9
Una seppia davanti a lei non vide un grosso tonno che le tagliava la strada e andò a sbatterci contro,Una piccola papera davanti a lei non vede un grosso pesce che le gira la strada e va a sbattere contro la strada,25.95433240594531,0.0,0.0,0.8,Una piccola papera davanti a lei non vede un grosso pesce che le gira la strada e va a sbattere contro la strada,25.95433240594531,0.0,0.0,0.8
Un attimo dopo il mare era pieno di inchiostro nero,Un attimo dopo il mare era pieno di inchiostro,7.117003367003367,0.0,0.0,2.4,Un attimo dopo il mare era pieno di inchiostro,7.117003367003367,0.0,0.0,2.4
Ci mancava solo il nero di seppia! - disse Sandra,ci mancava solo il colore di seppia,26.527777777777782,0.0,0.0,3.3,Ci mancava solo il colore di seppia,26.527777777777782,0.0,0.0,3.3
Ha visto cos'è successo? - le chiese un cavalluccio marino,Ha visto cosa era successo,31.578947368421055,0.0,0.0,5.3,Ha visto cosa era successo,31.578947368421055,0.0,0.0,5.3
"C'è stato un incidente tra un tonno e una seppia, per fortuna stavano nuotando molto piano","è stato un incidente tra un peschereccio e una troupe, per fortuna",25.60470085470085,0.0,0.0,1.5,"è stato un incidente tra un peschereccio e una fa notte, per fortuna",25.60470085470085,0.0,0.0,1.4
"Meno male, però adesso chissà quanto ci metteremo a tornare a casa! Sandra si fece cullare dall'acqua e accarezzare dalle alghe","Poco, però, ci dobbiamo mettere a riposare dall'acqua e accarezzar - ci dall ’ acqua",31.686507936507937,0.0,0.0,1.1,"Poco, però, ci dobbiamo mettere a riposare dall'acqua e accarezzar - le spontaneo dall ’ acqua",31.686507936507937,0.0,0.0,1.1
"Inutile agitarsi, meglio rilassarsi e aspettare","In generale, consultarsi e aspettare",30.3030303030303,0.0,0.0,4.1,"In generale, consultarsi e aspettare",30.3030303030303,0.0,0.0,4.1
L'inchiostro da nero divenne grigio e poi trasparente. Lentamente il traffico riprese a scorrere,L'inchiostro è grigio e poi il traffico continuò a correre,29.46376811594203,0.0,0.0,2.1,L'inchiostro è grigio e poi il traffico continuò a scorrersi,29.46376811594203,0.0,0.0,2.1
"Sandra continuò il suo cammino, sapendo bene che l'indomani sarebbe stata la stessa storia","Emanuele continuò il suo cammino, consapevole che l'indomani era la stessa storia",24.116161616161616,0.0,0.0,1.5,"Emanuele continuò il suo cammino, consapevole che l'indomani era la stessa storia",24.116161616161616,0.0,0.0,1.5
Chissà perché non si decidevano a mettere un semaforo,Ma non si può decidere a mettere un punto interrogativo,27.564102564102566,0.0,0.0,2.1,Ma non si può decidere a mettere un punto interrogativo,27.564102564102566,0.0,0.0,2.1
